"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"result.72",-0.51922640033402,0.949402683870054,0.529815247274575,9.30082030498544,-0.509571125692331,0.949313313806225,0.527713823818745,0,72
"result.73",-0.600792126933446,0.940013440137245,0.550783937883109,4.22606166656457,-0.64071253322222,0.9354727886389,0.579157475377861,0,73
"result.74",-0.628335736016997,0.939353749900181,0.524961955661378,5.66636532607991,-0.610702619344431,0.941346745674179,0.500757457390462,0,74
"result.75",-0.438696195264014,0.955931823891692,0.479466414115759,4.71845629723807,-0.519391190696266,0.947913861320768,0.497488158502159,0,75
"result.76",-0.438540205081092,0.957645581024788,0.473834340059706,3.24001361994262,-0.393710462375652,0.95994401837953,0.491593759281471,0,76
"result.77",-0.68148194301014,0.931930865664287,0.580508053704749,3.14840149795845,-0.741415311588346,0.924964170568367,0.574849529391148,0,77
"result.78",-0.661205561183309,0.935918727391788,0.549580594244458,4.48462152283157,-0.691236113029399,0.932647123122792,0.548771476733121,0,78
"result.79",-0.458067603056757,0.954208787294167,0.528505938964901,3.67808978758252,-0.449169727959285,0.955814851029378,0.492353176585178,0,79
"result.80",-0.495017640495865,0.949953860909156,0.510546973944097,24.7089543427081,-0.618318897011991,0.937539067986967,0.564892463062325,0,80
"result.81",-0.615507374287557,0.941123270460633,0.502061546036003,4.00901952325885,-0.54098548622915,0.94643494335134,0.528726520061215,0,81
"result.82",-0.478467575202587,0.951372873349436,0.525560237856153,12.1420007946175,-0.490918889856622,0.950910797298139,0.507344560606658,0,82
