"","V1","V2","V3","V4","V5","V6","V7","V8","V9"
"result.63",-0.430408554252662,0.956436194192191,0.38378899368896,15.502448087952,-0.47343045629187,0.951889479575873,0.395282082081952,0,63
"result.64",-0.407246149400339,0.960039790365326,0.340168945197281,14.9435747067314,-0.490930675788002,0.95071848147366,0.353748913229497,0,64
"result.65",-0.607129952307492,0.938803076604744,0.376276412249854,5.8484567146196,-0.612749325111423,0.938361343156911,0.38257603175408,0,65
"result.66",-0.584999136993718,0.939071413038213,0.35712911757534,12.1115606380785,-0.694834683846717,0.927687132873577,0.370619074507915,0,66
"result.67",-0.503725331998461,0.947786465397575,0.335695363929613,18.1828644199347,-0.566434071858619,0.941919120138174,0.344169720635071,0,67
"result.68",-0.392353980745152,0.960542009924092,0.388155252254101,3.54632134281878,-0.417040352314861,0.958151791490286,0.385336898126016,0,68
"result.69",-0.575804598502442,0.942427549698855,0.325116766134501,14.7500035574352,-0.723095783157671,0.9279572850649,0.351894325289006,0,69
"result.70",-0.721296464086245,0.92982270348487,0.440533515908065,2.52447485641979,-0.653740542689808,0.93509835286911,0.363895930993613,0,70
"result.71",-0.428201389358812,0.956308508293789,0.377529686994412,4.68637117553346,-0.518335572112291,0.948164995873894,0.375472578398923,0,71
"result.72",-0.534977624172421,0.947335383347444,0.383057396616662,10.5424780524275,-0.532721087419823,0.946958423494289,0.377490431407409,0,72
"result.73",-0.593652454840357,0.940837958146054,0.380012071236363,13.4168206857086,-0.690827936359922,0.930727875683809,0.426080653601969,0,73
"result.74",-0.635134890833932,0.937983859056026,0.378541729562736,4.60849435160257,-0.622933322127037,0.939488373710191,0.355946243075892,0,74
"result.75",-0.471345787785889,0.952462775654374,0.346357940913533,6.30465282680605,-0.552332542848938,0.9447528073935,0.360564341785927,0,75
"result.76",-0.508972612478689,0.950241796970774,0.405130778907141,2.57307254027155,-0.408141624090664,0.95869175365792,0.350665552455642,0,76
"result.77",-0.684966684891422,0.931538997662224,0.403553315610254,3.17792092715177,-0.805118559633652,0.918908581747703,0.425692990698936,0,77
"result.78",-0.652128077444968,0.936259226438887,0.373540365723597,7.40438901717868,-0.703399242652269,0.931079191768347,0.389344425016649,0,78
"result.79",-0.459531131214964,0.953907657527578,0.372806861049876,6.22258854206679,-0.479572237665989,0.952670606585071,0.362153285531352,0,79
"result.80",-0.467982284755872,0.952873688667449,0.346657240453802,17.9096873593651,-0.678658813542337,0.931587947512477,0.412870408583097,0,80
"result.81",-0.54631978357508,0.947085229531665,0.319612427500361,6.23015298292978,-0.566459495708522,0.943875884221584,0.386988314645094,0,81
"result.82",-0.506073373030091,0.948839608235418,0.388691331012304,7.2810366132584,-0.526594856732266,0.947423500993541,0.37723226765596,0,82
"result.83",-0.36280277126774,0.964414126310176,0.288844121515891,14.1462151126903,-0.489768761123978,0.95205689362771,0.339476464241999,0,83
"result.84",-0.607848871940433,0.938765232288576,0.371797562854227,22.1226418155706,-0.717563847846021,0.927408353984687,0.381433817039668,0,84
"result.85",-0.592228920223286,0.941612439751974,0.34510284663767,20.9066621729315,-0.659822188759535,0.934926994110347,0.369523251130103,0,85
"result.86",-0.643003421620166,0.936102510014627,0.342130635120217,11.378285759792,-0.681252726613189,0.932041424851917,0.335990072082812,0,86
