"","1993-11-04","","","1993-11-04","","","","","","",""
"result.57",-0.00222717054678778,0.0207154412604993,0,2.29426118072845e-06,0.0148809751169579,0,1.71081456637438e-06,0.0159455970416237,0,1.81727675884094e-06,57
"result.58",0.00482990164795449,0.0208376348381805,0,1.60077331902242e-06,0.0148809751169579,0,1.00510734690023e-06,0.0158030485635319,0,1.09731469155762e-06,58
"result.59",0.00810312457977069,0.0207299115108199,0,1.26267869310478e-06,0.0148809751169579,0,6.77785053718646e-07,0.0158710136256074,0,7.76788904583586e-07,59
"result.60",0.0034528394230966,0.0211065193932356,0,1.76536799701371e-06,0.0148809751169579,0,1.142813569386e-06,0.0165205765987578,0,1.30677371756597e-06,60
"result.61",0.00606050528675262,0.021555379286859,0,1.54948740001047e-06,0.0148809751169579,0,8.82046983020431e-07,0.0164358716752577,0,1.03753663885039e-06,61
"result.62",-0.00414051347630018,0.0215475872963466,0,2.5688100772644e-06,0.0148809751169579,0,1.9021488593256e-06,0.0166319474873362,0,2.07724609636341e-06,62
"result.63",0.0049500007737926,0.021766860337415,0,1.68168595636206e-06,0.0148809751169579,0,9.93097434316421e-07,0.016647603328461,0,1.16976025546672e-06,63
"result.64",-0.00267995509373975,0.0217346913050207,0,2.44146463987578e-06,0.0148809751169579,0,1.75609302106957e-06,0.0166820244344504,0,1.93619795281881e-06,64
"result.65",-0.0229358055621551,0.0217237855322949,0,4.46595910944451e-06,0.0148809751169579,0,3.78167806791089e-06,0.0165311217050835,0,3.94669272672342e-06,65
"result.66",0.00414204949476193,0.023368953143752,0,1.92269036489879e-06,0.0148809751169579,0,1.07389256221948e-06,0.0215943327858411,0,1.74522832910773e-06,66
"result.67",-0.00150618286979309,0.0278245272864339,0,2.93307101562238e-06,0.0148809751169579,0,1.63871579867492e-06,0.0215042761518898,0,2.30104590216804e-06,67
"result.68",0.00364476901528743,0.0277952549798854,0,2.41504859645954e-06,0.0148809751169579,0,1.12362061016692e-06,0.021380973469614,0,1.77362044543246e-06,68
"result.69",-0.00815550038707347,0.0276613024265018,0,3.58168028135713e-06,0.0148809751169579,0,2.30364755040288e-06,0.0213441473219171,0,2.94996477089874e-06,69
"result.70",0.00266209657407224,0.0274466104861588,0,2.47845139120838e-06,0.0148809751169579,0,1.22188785428843e-06,0.0215276528180703,0,1.8865556243996e-06,70
"result.71",0.000106374878690474,0.0278463000590605,0,2.7739925180367e-06,0.0148809751169579,0,1.47746002382658e-06,0.0214502573005526,0,2.13438824218598e-06,71
"result.72",0.00485809070023002,0.0271024422851767,0,2.22443515849442e-06,0.0148809751169579,0,1.00228844167268e-06,0.020813138793562,0,1.59550480933302e-06,72
"result.73",0.000571283511049181,0.0269242906535894,0,2.63530071425373e-06,0.0148809751169579,0,1.43096916059071e-06,0.0208216642596775,0,2.02503807486261e-06,73
"result.74",-0.00519550538773039,0.0267089165177978,0,3.19044219055247e-06,0.0148809751169579,0,2.00764805046861e-06,0.02049740895995,0,2.56929143476776e-06,74
"result.75",-0.0056501413718868,0.026503329331895,0,3.21534707037783e-06,0.0148809751169579,0,2.05311164888424e-06,0.0205074281499587,0,2.61575695218426e-06,75
"result.76",0.00802855620185206,0.0264891478413389,0,1.84605916394848e-06,0.0148809751169579,0,6.85241891510509e-07,0.020528398628034,0,1.24998424261805e-06,76
"result.77",-0.00163453627798749,0.0266068418435665,0,2.82413781215509e-06,0.0148809751169579,0,1.65155113949436e-06,0.0208351709695864,0,2.24697072475714e-06,77
"result.78",-0.0137549458172224,0.0267838585810907,0,4.05388043983086e-06,0.0148809751169579,0,2.86359209341771e-06,0.0205735276145319,0,3.43284734317505e-06,78
"result.79",0.0038910907970866,0.0269968949407726,0,2.31058041436835e-06,0.0148809751169579,0,1.09898843198701e-06,0.0219649284022874,0,1.80738376051988e-06,79
"result.80",0.00229317826357622,0.0283027321768472,0,2.60095539132681e-06,0.0148809751169579,0,1.25877968533803e-06,0.0218735085849111,0,1.95803303213327e-06,80
"result.81",-0.00579664765455146,0.0281649504261665,0,3.39615980807142e-06,0.0148809751169579,0,2.06776227715071e-06,0.0217019703032378,0,2.74986179577862e-06,81
"result.82",0.000796332568313574,0.0276792917409736,0,2.68829591726571e-06,0.0148809751169579,0,1.40846425486428e-06,0.0214917575888823,0,2.06954250205664e-06,82
"result.83",-0.00388004191044189,0.0276982345685539,0,3.15782764789923e-06,0.0148809751169579,0,1.87610170273977e-06,0.0212943863896222,0,2.51744283000613e-06,83
"result.84",0.00372941418512074,0.027432936759233,0,2.37035225741096e-06,0.0148809751169579,0,1.11515609318359e-06,0.0211766442900949,0,1.74472301049723e-06,84
"result.85",0.00465844026893247,0.027306547494085,0,2.264810722515e-06,0.0148809751169579,0,1.02225348480243e-06,0.0210673333308288,0,1.64088930618945e-06,85
"result.86",-0.00220842721016279,0.0271404746021133,0,2.93489018122729e-06,0.0148809751169579,0,1.70894023271188e-06,0.0209839363299543,0,2.31923635401145e-06,86
"result.87",0.00252962382454669,0.0269225846336596,0,2.43929608091102e-06,0.0148809751169579,0,1.23513512924098e-06,0.0207015546064899,0,1.81719307819413e-06,87
"result.88",-0.00678872596749969,0.0267098773307382,0,3.34986032982342e-06,0.0148809751169579,0,2.16697010844552e-06,0.0205394852061845,0,2.73282111736812e-06,88
"result.89",0.00546040011605342,0.0265365807774529,0,2.10761806613972e-06,0.0148809751169579,0,9.42057500090344e-07,0.0206549368442125,0,1.51945367281574e-06,89
"result.90",0.00203466007827391,0.0266256485218221,0,2.45909884435455e-06,0.0148809751169579,0,1.28463150386826e-06,0.0206214879509557,0,1.85868278726797e-06,90
"result.91",-0.00081336688951783,0.0265409204773519,0,2.73542873668667e-06,0.0148809751169579,0,1.5694342006474e-06,0.0203907574053984,0,2.12041242949139e-06,91
