"","V1","V2","V3"
"result.296",0.0188547135716278,0.0216476034815756,296
"result.297",0.0176397715167125,0.0209317366287749,297
"result.298",0.0170633986772056,0.0203279051397018,298
"result.299",0.0165498265086231,0.0194893048617999,299
"result.300",0.0160600731597606,0.0189383024605334,300
"result.301",0.0190895376923231,0.0185876586386868,301
"result.303",0.0194420689351304,0.0189732478901377,303
"result.304",0.0174972643788094,0.0197322670492568,304
"result.305",0.0169375694184965,0.0194542835390976,305
"result.306",0.0169670447363613,0.0191179213908796,306
"result.307",0.0162594987731725,0.0189412851761759,307
"result.308",0.0173631760198132,0.0186139279357533,308
"result.309",0.0160509783360274,0.018822250443371,309
"result.310",0.0171083235936868,0.0184740694683185,310
"result.311",0.0157521407775405,0.0186497805745134,311
"result.312",0.0161140607266055,0.0182841236978746,312
"result.313",0.0160945060767391,0.0182121967126321,313
"result.314",0.0158655085494941,0.01816751431911,314
"result.315",0.0178805877643208,0.0180893819807366,315
"result.317",0.0179567518164777,0.0205720367088631,317
"result.318",0.0200777176984221,0.0200842759812687,318
"result.319",0.0177188343348792,0.0205176126654365,319
"result.320",0.0267907878166932,0.0200060482053388,320
"result.321",0.0195768639806104,0.0233508570992669,321
"result.322",0.0184388044167084,0.0219301798763141,322
"result.325",0.0189402548684349,0.0226013368891032,325
"result.326",0.0186529402279193,0.0216051697595461,326
"result.327",0.0204188864702213,0.0208111995731812,327
"result.328",0.0196991013485215,0.0210319531092225,328
"result.331",0.0241538490997228,0.0196264577790899,331
"result.332",0.0184364656145032,0.0217952547476656,332
"result.333",0.0178089578423863,0.0208994935785896,333
"result.334",0.0170039153567969,0.0202545880139624,334
"result.336",0.0164089317716747,0.0194279621223856,336
"result.337",0.0217640949076006,0.0190168942878941,337
"result.339",0.0183979378476453,0.0200216261191386,339
"result.342",0.0457016861663476,0.025458849045684,342
"result.344",0.0312499081173393,0.0349837577750591,344
"result.346",0.0251933196788196,0.0281627828103481,346
"result.347",0.0217335600928843,0.0257524413617105,347
"result.348",0.0196267170992218,0.0230282447349808,348
"result.351",0.0272733569044422,0.0210254157311383,351
"result.353",0.0203029213026537,0.0236747503568537,353
"result.354",0.0186713865727115,0.0221837297091056,354
"result.356",0.0182875196914452,0.0216147970187635,356
"result.357",0.0174428395257294,0.0204856157438726,357
"result.358",0.0174510830405131,0.0197546339444088,358
"result.359",0.0319769224910469,0.0200707443504413,359
"result.360",0.0224422651088785,0.0260158303877986,360
"result.362",0.0221642003801285,0.0236141557335614,362
"result.363",0.0278033082201829,0.0234163918454371,363
"result.364",0.0294551013074308,0.02554087607475,364
"result.365",0.033209657407382,0.0275435698133535,365
"result.366",0.0262513480888207,0.0300618043608907,366
"result.367",0.030183298042999,0.0283066004691577,367
"result.368",0.0246549122691286,0.0289244444493946,368
"result.369",0.0232191733243211,0.0268762157446858,369
"result.370",0.0211091231631685,0.0251821453838019,370
"result.371",0.0286834070822028,0.02433476463397,371
"result.372",0.0227889895610482,0.0262924708589978,372
"result.373",0.0248972826638684,0.0251293482154082,373
"result.374",0.0245893989173067,0.0252492024735815,374
"result.375",0.021445446413026,0.0250600205573974,375
"result.376",0.0204799818016872,0.0237836661944826,376
"result.377",0.0347459076448166,0.0236888517357343,377
"result.378",0.0249290133501975,0.0285049962563662,378
"result.379",0.0228364453440814,0.0271032388399064,379
"result.380",0.0232470201418126,0.0256499420726541,380
"result.381",0.0214853075146932,0.024881065407051,381
"result.383",0.0257044295313869,0.023120965345349,383
"result.384",0.0216939474174793,0.0244539445544874,384
"result.386",0.0196083216443261,0.0228450266041804,386
"result.387",0.0195991367713384,0.022082163121361,387
"result.389",0.0182168706499572,0.0212158472370092,389
"result.390",0.0177674509881353,0.0205281002177102,390
"result.392",0.0163811049548126,0.0194062343806749,392
"result.393",0.0164119541913367,0.0189536110062605,393
"result.394",0.0264768537550835,0.0191754075227735,394
"result.395",0.0195082972894275,0.0221819320774372,395
"result.396",0.0196421269186148,0.021606392295773,396
"result.397",0.0180975080766473,0.0214177272388483,397
"result.398",0.0174308540864806,0.0207880873191826,398
"result.399",0.0169685703942499,0.0201723438571477,399
"result.401",0.0172604811334755,0.0205119010886321,401
"result.404",0.0216765197678786,0.0210189971291683,404
"result.407",0.0222815347752023,0.0222358110626502,407
"result.408",0.0300489962087884,0.0227096085747647,408
"result.409",0.0221404623870031,0.0256906582004106,409
"result.410",0.022593301943307,0.0246850439576249,410
"result.411",0.0205981393446587,0.0241783194549114,411
"result.412",0.0200903410173518,0.0232867384174185,412
"result.413",0.0258135996929891,0.0226328584403248,413
"result.414",0.0203255186358795,0.0240093305409275,414
"result.415",0.0195409417421985,0.0230952290417221,415
"result.416",0.0207003921220593,0.022296864060344,416
"result.417",0.0192145866911082,0.0220949855933625,417
"result.418",0.0180646610098754,0.0214848515647574,418
"result.419",0.0173214091660234,0.0206597408963418,419
"result.420",0.0206598095471457,0.0202266723650908,420
"result.421",0.0200783407273508,0.0208318260380977,421
"result.422",0.0199709856406063,0.0210251122045051,422
"result.423",0.0176741140935732,0.0210860750086894,423
"result.424",0.017412340452886,0.0204122176591781,424
"result.425",0.0183649031346166,0.0199208372589865,425
"result.426",0.0189490540117115,0.0199012416841313,426
